Harmonized_attribute,Scorecard_attribute,Scorecard_attribute_updated,Transformation_logic,Modelled
directions_index_brand_interest,directions_strategic_measures_brand_interest_index,Brand Interest (Potential for Purchase Among Non-Buyer) - Directions,N/A,1
directions_index_brand_love,directions_strategic_measures_brand_love_index,"Brand Love (Connection to a Brand, Potential for Advocacy)- Directions",N/A,1
directions_index_brand_loyalty,directions_strategic_measures_brand_loyalty_index,Brand Loyalty (Potential for Repurchase Among Buyers) - Directions,N/A,1
directions_mean_always_seems_to_be_doing_something_new,directions_brand_attributes_always_seems_to_be_doing_something_new_mean,Always Seems To Be Doing Something New (Mean) - Directions,N/A,1
directions_mean_controls_litter_box_odor_better_than_other_brands,directions_brand_attributes_controls_litter_box_odor_better_than_other_brands_mean,Controls Litter Box Odor Better Than Other Brands (Mean) - Directions,N/A,1
directions_mean_costs_more_than_i_am_prepared_to_pay,directions_brand_attributes_costs_more_than_i_am_prepared_to_pay_mean_inverse,Costs More Than I Am Prepared To Pay (Mean Inverse) - Directions,100- Harmonized Attribute Value,1
directions_mean_creates_a_minimal_amount_of_dust_when_used,directions_brand_attributes_creates_a_minimal_amount_of_dust_when_used_mean,Creates A Minimal Amount Of Dust When Used (Mean) - Directions,N/A,1
directions_mean_creates_excitement_and_eagerness_at_mealtime,directions_brand_attributes_creates_excitement_and_eagerness_at_mealtime_mean,Creates Excitement And Eagerness At Mealtime (Mean) - Directions,N/A,1
directions_mean_creates_playful_moments_with_my_cat,directions_brand_attributes_creates_playful_moments_with_my_cat_mean,Creates Playful Moments With My Cat (Mean) - Directions,N/A,1
directions_mean_does_not_stick_to_cat's_paws_and_get_tracked_around_my_home,directions_brand_attributes_does_not_stick_to_cats_paws_and_get_tracked_around_my_home_mean,Does Not Stick To Cat's Paws And Get Tracked Around My Home (Mean) - Directions,N/A,1
directions_mean_has_a_taste_my_cat_enjoys,directions_brand_attributes_has_a_taste_my_cat_enjoys_mean,Has a taste my cat enjoys (Mean) - Directions,N/A,1
